DOID:2394	ovarian cancer	 	D010051	C4984	10000, 10232, 1027, 10857, 11186, 11200, 1499, 1843, 1869, 1890, 1906, 2064, 2252, 2277, 240, 26271, 2697, 29108, 3091, 332, 3364, 3397, 3479, 3481, 3486, 355, 3569, 3576, 3596, 3600, 3845, 3855, 3897, 3934, 4254, 4313, 4318, 4345, 4363, 4609, 4680, 5045, 5329, 56413, 5743, 5883, 596, 6286, 64073, 6418, 6513, 6623, 6662, 672, 675, 7076, 7077, 7124, 7490, 820, 834, 837, 8797, 8842
DOID:4001	ovarian carcinoma	 	C538090	C4908	1026, 1029, 10891, 1485, 1890, 2071, 2113, 214, 2678, 2950, 3091, 3117, 3265, 329, 3485, 3815, 406991, 4072, 4162, 4312, 4313, 4316, 4318, 4323, 4609, 4615, 4680, 5893, 595, 648, 672, 682, 7083, 7298, 7515, 7516, 780, 814, 874, 9166
DOID:5119	ovarian cyst	620.2	 	 	4057, 4312, 4313, 4318
DOID:1100	ovarian disease	 	D010049	C26841	1508
DOID:1414	ovarian dysfunction	256.39	 	 	668
DOID:2156	ovarian germ cell cancer	 	 	C3873	2719
DOID:5425	ovarian hyperstimulation syndrome	 	D016471	 	3606, 3952
DOID:9594	ovarian metastasis	198.6	 	C7456	3855
DOID:6213	ovarian serous tumor	 	 	C8431	2006
DOID:3713	ovary adenocarcinoma	 	 	C7700	10023, 1191, 3685, 3690, 4171, 4174, 4313, 6502, 822, 8826, 896
DOID:654	overnutrition	277.6	 	 	10135, 1071, 3479, 3481, 3484, 477, 5295
DOID:5408	Paget's disease of bone	 	D010001	C3292	10020, 1906, 2064, 2194, 595, 8878
DOID:9248	Pallister-Hall syndrome	 	D054975	C84987	2737
DOID:3390	palmoplantar keratosis	 	D007645	C34748	1832, 2697, 284654, 3857, 9342
DOID:4074	pancreas adenocarcinoma	 	 	C8294	101, 1027, 1029, 10397, 10643, 1080, 1499, 1545, 1956, 2043, 2064, 207, 208, 2152, 21926, 3091, 3480, 355, 3725, 3815, 3845, 387, 3918, 3934, 4089, 4193, 4221, 4507, 4582, 4585, 4680, 5327, 5328, 5747, 5888, 596, 6241, 6286, 64766, 673, 675, 689, 7078, 7186, 7428, 7471, 8839, 8935, 9112, 9149, 9154, 9166
DOID:26	pancreas disease	577.8	D010182	 	1029, 1080, 3265, 6181, 834
DOID:1793	pancreatic cancer	 	D010190	C3305	10112, 101, 10232, 1027, 1028, 1029, 10371, 10628, 10631, 10678, 10755, 10987, 10, 11006, 11009, 11054, 11200, 11282, 11320, 12043, 128, 133, 1431, 1432, 1435, 1490, 1495, 1499, 1500, 1509, 1544, 16000, 16001, 16183, 16193, 1647, 1649, 16948, 17395, 177, 1848, 1950, 1956, 1984, 19921, 2064, 2066, 2067, 2068, 207, 20848, 208, 2118, 2149, 2150, 2152, 2175, 217, 2247, 2252, 2255, 2263, 2277, 240, 2625, 2626, 2627, 2668, 26754, 2706, 2735, 2740, 2950, 29527, 2956, 3091, 3099, 3175, 328, 3309, 331, 3320, 332, 3397, 341, 3454, 3455, 3479, 3480, 3549, 3552, 3558, 3559, 3565, 3566, 3569, 356, 3570, 3576, 3611, 3651, 3655, 3667, 3672, 3673, 3688, 3717, 3725, 3845, 389, 3934, 395082, 3958, 4015, 4060, 4086, 4089, 4092, 4099, 4214, 4217, 4233, 4292, 4311, 4313, 4316, 4318, 4353, 4436, 4488, 4552, 4582, 4583, 4585, 4586, 4609, 4772, 5111, 5154, 5328, 5329, 5347, 5349, 5378, 56547, 57154, 57447, 5745, 5764, 58191, 581, 5898, 5899, 5909, 5916, 5925, 596, 5970, 5979, 6041, 6093, 6143, 6240, 6275, 6286, 632, 6382, 6387, 64399, 6469, 647269, 6477, 652, 6648, 664, 6678, 6690, 6695, 6696, 673, 675, 699, 7071, 7114, 7124, 7249, 7291, 7298, 7422, 7424, 7428, 7474, 7516, 7517, 760, 80310, 841, 857, 864, 8828, 8829, 8870, 898, 9002, 9076, 9166, 9231, 9289, 947, 9500, 9518, 9547, 9775, 9
DOID:3588	pancreatic cancer	 	D010190	C3305	1029, 1080, 1432, 2305, 3181, 3486, 3717, 3815, 3845, 3856, 387, 4089, 4221, 4233, 4288, 4311, 4585, 5054, 5074, 5347, 5879, 6277, 6286, 633, 64399, 6469, 6493, 664, 6690, 672, 886, 887
DOID:4905	pancreatic carcinoma	 	 	C3850	10057, 10136, 1029, 10411, 10983, 11009, 11255, 1495, 1499, 1869, 2665, 3091, 3105, 3458, 3480, 3576, 3621, 3845, 3956, 3976, 3977, 4089, 4233, 4292, 4436, 4524, 4583, 4586, 5898, 5899, 59340, 596, 6416, 6493, 6608, 7298, 7307, 887, 9112
DOID:3587	pancreatic ductal carcinoma	157.3	 	 	1500, 64399, 79679, 81
DOID:4989	pancreatitis	 	D010195	C3306	1080, 11330, 1493, 1543, 2022, 217, 23, 2944, 2950, 2952, 3297, 3458, 3553, 3559, 3586, 3856, 6690, 760, 846, 920, 929
DOID:12450	pancytopenia	284.1	D010198	C80693	861
DOID:594	panic disorder	 	D016584	C34890	135, 1390, 1392, 1395, 2006, 2099, 267012, 2739, 282706, 3350, 3356, 3359, 387129, 3939, 4128, 6530, 6532, 706, 885, 886, 887
DOID:3112	papillary adenocarcinoma	 	D000231	C2853	1956, 2150
DOID:3113	papillary carcinoma	 	D002291	C2927	10142, 1027, 1029, 10987, 1485, 1965, 1977, 20613, 2064, 2719, 3691, 3732, 3880, 4085, 4103, 5076, 5347, 5933, 5979, 6275, 6281, 6513, 6591, 6615, 673, 7076, 7227, 7490
DOID:7145	papillary cystic tumor	 	 	C4179	1500
DOID:4465	papillary renal cell carcinoma	 	D002292	C6975	3815, 3855, 4233, 6421, 682, 916
DOID:2632	papillary serous adenocarcinoma	 	 	C8377	3845, 673, 9435
DOID:3969	papillary thyroid carcinoma	 	C536915	C4035	1026, 1029, 1051, 1474, 19713, 2056, 2057, 2064, 2277, 331, 3845, 3872, 3880, 3958, 406938, 4233, 4288, 4320, 4495, 4582, 5925, 595, 5979, 6696, 673, 7076, 7080, 7173, 7424, 80155, 860, 898, 9249, 9547
DOID:4012	papillary transitional carcinoma	 	 	C4122	2064, 332
DOID:1635	papilloma	 	D010212	C7440	4609
DOID:2615	papilloma	 	D010212	C7440	19225, 1956, 4313, 5915
DOID:11166	papillomavirus infectious disease	 	 	C27851	1026, 1029, 2064
DOID:3389	Papillon-Lefevre disease	 	D010214	C84992	1075, 414062, 6348, 6349
DOID:12662	paracoccidioidomycosis	116.1	D010229	C34891	3586
DOID:10699	paragonimiasis	121.2	D010237	C84995	6361
DOID:8681	paraneoplastic polyneuropathy	357.3	D020364	C3981	56896
DOID:1229	paranoid schizophrenia	295.32	D012563	C35006	1544, 1644, 3557
DOID:607	paraplegia	344.1	D010264	C50687	6683
DOID:883	parasitic helminthiasis infectious disease	128.9	D006373	C84751	3565, 3567
DOID:1398	parasitic infectious disease	360.13	 	C34587	210, 332
DOID:2293	parasitic infectious disease	360.13	 	C34587	3565, 4282
DOID:2789	parasitic protozoa infectious disease	 	D011528	C34953	3567
DOID:7608	parathyroid adenoma	 	D010282	C3916	1499, 2057, 4221, 595, 596, 706
DOID:11006	parathyroid carcinoma	 	D010282	C3313	1027, 1499, 4221, 5970, 7490, 79577
DOID:1540	parathyroid carcinoma	 	D010282	C3313	79577
DOID:2756	paratuberculosis	 	D010283	 	21898, 24088, 257632, 30805, 64127, 6583, 7097, 7099
DOID:14330	Parkinson's disease	332	D010300	C26845	1029, 105827, 10935, 10, 11315, 126, 12, 142, 1543, 1621, 1636, 18693, 1869, 1996, 2052, 2053, 20750, 2099, 2100, 219402, 22084, 246744, 2571, 2572, 25897, 26058, 26281, 2629, 2643, 2668, 2674, 26994, 27429, 2944, 29527, 3240, 3269, 3313, 3362, 3416, 3458, 347902, 347, 3481, 348, 3553, 355, 3576, 3586, 3630, 391634, 4025, 40, 4129, 4137, 4217, 4287, 4345, 43, 441549, 442890, 4524, 4535, 4536, 4540, 4694, 4739, 5071, 5072, 5074, 50873, 51886, 5428, 56424, 56652, 56816, 5743, 5816, 5925, 59269, 598, 627, 6311, 6315, 6334, 64342, 6477, 65018, 6531, 6532, 6571, 6620, 6622, 6647, 6696, 6697, 7249, 7299, 7345, 78309, 793, 79705, 836, 842, 885, 886, 8878, 887, 8880, 9627, 9
DOID:10301	parotitis	 	D010309	 	6690
DOID:13620	patent foramen ovale	 	D054092	C34619	2147, 2153
DOID:9650	pathologic nystagmus	379.5	D009759	C3282	5080, 57165
DOID:4593	pediatric meningioma	 	 	C8264	4771
DOID:3257	pediatric rhabdomyosarcoma	 	 	C7705	4193
DOID:3210	Pelizaeus-Merzbacher disease	 	D020371	 	2700, 5354
DOID:1003	pelvic inflammatory disease	614.9	D000292	C3889	11253, 3458, 441099, 643387, 6622, 9219
DOID:9182	pemphigus	694.4	D010392	C34909	12566, 1432, 26191, 3315, 3586, 5328
DOID:11615	penile cancer	187.3	 	 	3265, 3845
DOID:1529	penile disease	607.89	D010409	 	1401
DOID:5518	penis squamous cell carcinoma	 	 	C7729	2272, 3732
DOID:13976	peptic esophagitis	530.11	D004942	 	2068, 26525, 2944, 2950, 2952, 3576, 3577, 3579, 441792, 6347, 7515
DOID:750	peptic ulcer	533	D010437	C3318	100, 10392, 3576, 3586, 3593, 3939, 6343
DOID:1376	perinatal infectious disease	771	 	 	1234
DOID:8677	perinatal necrotizing enterocolitis	 	D020345	C84915	1950, 21898, 3566, 4282, 4314, 7099, 7124
DOID:4697	perineurioma	 	D018317	C4973	6513
DOID:9207	periodic limb movement disorder	327.51	D020189	 	4211
DOID:3388	periodontal disease	 	D010510	C63743	10, 1401, 1906, 2215, 2252, 249, 3557, 3565, 3569, 3586, 3603, 3605, 3606, 4322, 5054, 5328, 6364, 671, 929
DOID:824	periodontitis	 	D010518	C34918	10673, 1075, 1435, 1511, 1543, 2212, 2214, 24835, 2944, 2952, 3105, 3106, 3458, 3552, 3553, 3559, 3565, 3586, 3589, 3595, 3596, 3603, 3605, 360, 4057, 4312, 4313, 4314, 4318, 4321, 4353, 5327, 5743, 6279, 64127, 6441, 65133, 7077, 7097, 7099, 7124, 836, 840, 929
DOID:3193	peripheral nerve sheath neoplasm	 	D018317	 	4763, 4771
DOID:574	peripheral nervous system disease	350-359.99	D010523	C4731	10558, 1636, 2705, 4000, 4311, 4318, 4359, 4536, 4664, 4665, 79628, 9499, 9927
DOID:3194	peripheral nervous system neoplasm	 	D010524	C3321	3480, 3815
DOID:3369	peripheral primitive neuroectodermal tumor	 	D012512	C4817	1029, 104266, 108314, 14247, 142, 1432, 16000, 190, 1994, 2078, 2130, 233908, 2692, 3315, 3371, 3398, 3479, 3486, 3815, 4312, 4314, 5155, 5338, 56034, 56888, 5743, 648, 6648, 6667, 7422, 7430, 841, 885, 947, 9503
DOID:341	peripheral vascular disease	443.81	 	 	1524, 1636, 2147, 2153, 2155, 2678, 350, 3990, 4018, 4524, 5360, 64805, 7295, 79001, 9370
DOID:8283	peritonitis	567.89	 	 	1991, 20310, 21898, 50701, 7099
DOID:2643	perivascular epithelioid cell tumor	 	D054973	C38150	7249, 909
DOID:13088	periventricular leukomalacia	779.7	D007969	 	2056, 3558, 3606, 4661, 6506
DOID:906	peroxisomal disease	277.86	D018901	C85005	10134, 215, 4591
DOID:1116	pertussis	 	D001885	 	3383, 3678, 3684, 3689, 5294, 710
DOID:11751	pertussis	 	D001885	 	5294
DOID:1208	pervasive developmental disorder	299.8	 	 	1610, 2020, 267012, 3198, 324, 387573, 4139, 4233, 4282, 438, 5020, 552, 57502, 57526, 6532
DOID:3852	Peutz-Jeghers syndrome	 	D010580	C3324	4629, 7249
DOID:8616	Peyronie's disease	607.85	D010411	C3316	6347
DOID:9281	phenylketonuria	270.1	D017042	C81315	4129, 5053, 6285
DOID:2712	phimosis	 	D010688	C26852	3672, 3690
DOID:591	phobic disorder	300.2	D010698	C35420	367, 41
DOID:2960	photosensitive trichothiodystrophy	 	C536559	C4924	2068, 2071
DOID:11870	Pick's disease	331.11	D020774	C85008	10935, 134, 246744, 25978, 27344, 348, 351, 4128, 4137, 4440, 5052, 5300, 6622, 8878, 9588
DOID:3263	piebaldism	 	D016116	C85009	3815
DOID:2702	pigmented villonodular synovitis	 	D013586	C3401	1435, 4312, 4318
DOID:4851	pilocytic astrocytoma	 	D001254	C4047	10215, 10381, 2065, 28996, 3265, 361, 3845, 4155, 4763, 6663, 673
DOID:5374	pilomatrixoma	 	D018296	C7368	1499, 324, 3881, 3886, 650, 652
DOID:3829	pituitary adenoma	 	D010911	C3329	1026, 1027, 1029, 10590, 10647, 1956, 2264, 2688, 2690, 2950, 3291, 3791, 3953, 412, 4133, 4318, 4760, 5111, 581, 5925, 596, 6387, 6469, 652, 7099, 7424, 780, 9049, 9232
DOID:1785	pituitary cancer	 	D010911	C3330	1027, 10763, 10912, 142, 1491938, 2099, 2247, 2264, 24318, 25591, 2688, 2690, 2950, 3569, 3791, 3976, 4684, 5443, 59301, 6423, 6424, 6502, 7099, 796, 9049, 9232
DOID:3946	pituitary-dependent Cushing's disease	 	D047748	 	1029, 354, 4158, 5443, 59301, 6597
DOID:8892	pityriasis rosea	696.3	D017515	C26855	6376
DOID:4744	placenta accreta	 	D010921	C26856	285
DOID:780	placenta disease	646.9	D011248	C35169	3479
DOID:13234	placental abruption	640	D000033	 	183, 2152, 2153, 4522, 4524, 4552, 635, 6573
DOID:2024	placental choriocarcinoma	 	 	C8893	123, 2649, 9429
DOID:3891	placental insufficiency	 	D010927	 	3952
DOID:3482	plague	20.9	D010930	C85015	19, 2064, 28996, 296562, 56654
DOID:13775	plantar wart	78.12	 	C26913	200315, 9582
DOID:6536	plasma cell neoplasm	 	D010265	C4665	595
DOID:9513	plasmacytic leukemia	203.1	D007952	C3180	4684, 673
DOID:3721	plasmacytoma	 	D010954	C9349	12518, 3569, 3572, 4233, 5079, 598
DOID:14067	Plasmodium falciparum malaria	84	D016778	C34798	1536, 3458, 3553, 3557, 3586, 3606, 6376
DOID:452	pleomorphic adenoma	 	D008949	C8602	1029, 11197, 2064, 4193, 5324, 79187
DOID:297	pleomorphic adenoma carcinoma	 	 	C4397	1029, 595, 890
DOID:5662	pleomorphic carcinoma	 	 	C4094	4267
DOID:4852	pleomorphic xanthoastrocytoma	 	 	C4323	1029, 1030, 7248
DOID:11023	pleural empyema	510	D004653	C34572	6285
DOID:3798	pleural empyema	510	D004653	C34572	10051, 10592, 2026
DOID:106	pleural tuberculosis	12	D014396	C26898	3606, 6556
DOID:10247	pleurisy	511.8	 	 	4318
DOID:4769	pleuropulmonary blastoma	 	C537516	C5669	4613
DOID:5151	plexiform neurofibroma	 	D018318	C3797	3371, 4763
DOID:9805	pneumococcal infectious disease	 	D011008	 	4586
DOID:10316	pneumoconiosis	505	D011009	C26861	2064, 4314
DOID:11340	Pneumocystis infectious disease	 	D016720	 	4360
DOID:552	pneumonia	 	D011014	C3333	10747, 1147, 1636, 1958, 1991, 20963, 2252, 2266, 3291, 348, 3551, 3553, 3565, 3569, 3572, 3576, 3596, 4153, 4318, 4586, 5054, 5328, 627, 6590, 7097, 7099, 717, 7295, 796, 85030, 929
DOID:5871	pneumonia	 	D011014	C3333	3600, 6441, 729238
DOID:1673	pneumothorax	512.8	D011030	 	134, 201163, 6647, 909
DOID:4953	poliomyelitis	45.9	D011051	C35550	3383
DOID:5898	polycystic kidney disease	753.12	D007690	C75464	18764, 2064, 4609, 4750, 5310, 5311, 5314, 6667, 7249
DOID:1173	polycystic liver disease	751.62	C536330	C82833	11231
DOID:11612	polycystic ovary syndrome	256.4	D011085	C26862	10468, 10580, 10891, 11132, 1401, 151, 1543, 154, 1551, 1588, 1589, 183, 207, 2153, 2627, 2688, 268, 2944, 2952, 3206, 3283, 3292, 3294, 3416, 3479, 3484, 3491, 354, 3552, 3557, 3623, 3625, 3630, 3640, 3643, 3667, 367, 3767, 3845, 3952, 3991, 412, 4313, 4318, 4524, 5047, 5054, 5327, 5329, 56729, 5921, 5950, 6462, 6517, 6654, 7076, 7124, 726, 79068, 79602, 885, 9021, 9210, 9370, 9882
DOID:8432	polycythemia	 	D011086	C26863	1636, 1906, 2056, 2057, 3091, 3479, 3717, 4352, 7428
DOID:8488	polyhydramnios	657	D006831	 	1906
DOID:10222	polymyositis	710.4	D017285	C26925	10438, 10578, 177, 26280, 3439, 3456, 355, 3600, 4313, 4316, 4318, 5393, 5394, 6347, 6363, 6366
DOID:1389	polyneuropathy	 	D011115	C26951	11315, 2584, 4099, 4358, 4771, 5428, 7276, 9927
DOID:9042	polyp of corpus uteri	621	 	C3662	1588, 4288, 4313, 4318, 5743
DOID:4629	porcine reproductive and respiratory syndrome	 	D019318	 	10392, 1535, 4688, 654817, 7097, 7099
DOID:3132	porphyria cutanea tarda	 	D017119	C27725	1544
DOID:10762	portal hypertension	572.3	D006975	C3119	1490, 18125, 18127, 257313, 7076
DOID:11695	portal vein thrombosis	452	 	C78565	2147
DOID:9478	postpartum depression	 	D019052	 	3350
DOID:2055	post-traumatic stress disorder	309.81	D013313	C3389	1392, 1621, 2289, 348, 3558, 3576, 4129, 6531
DOID:14038	precocious puberty	 	D011629	C79704	3479, 3814
DOID:11716	prediabetes syndrome	 	D011236	 	3600
DOID:10591	pre-eclampsia	 	D011225	C85021	100133941, 100, 10468, 10761, 1082, 10911, 10, 1116, 11186, 1118, 11346, 1191, 133, 1392, 1394, 1401, 1432, 1435, 1462, 154, 155, 1634, 1636, 183, 185, 186, 187, 1906, 1909, 1942, 2022, 2052, 2147, 2153, 2155, 2167, 219736, 2247, 26135, 2689, 27035, 285, 29124, 2944, 2950, 2952, 3091, 3240, 3291, 3383, 3458, 345, 3460, 3479, 3481, 3484, 3491, 355, 3565, 3569, 3586, 3600, 3603, 3623, 3624, 3625, 3626, 3627, 3640, 3791, 391533, 3952, 3953, 3976, 3990, 3991, 4153, 4282, 4318, 4524, 5054, 5443, 5806, 5837, 5972, 624, 633, 6401, 6402, 6403, 64127, 6510, 6530, 6581, 6647, 6648, 666, 7077, 7097, 7099, 7162, 72, 7422, 796, 811, 8858, 8862, 9166, 9370, 943, 947
DOID:12684	pre-eclampsia	 	D011225	C85021	1029, 10699, 10891, 10911, 11132, 1113, 1114, 11188, 116477, 1187, 1188, 118, 1231, 1234, 136, 1401, 150, 151, 1535, 153, 154, 1589, 1621, 1636, 183, 185, 186, 1889, 1906, 190, 1910, 19, 2053, 207, 2099, 2100, 2155, 217, 2185, 2244, 2642, 2688, 2690, 27035, 2729, 27302, 284, 285, 290, 2944, 2950, 2952, 3240, 3283, 3290, 3291, 3356, 335, 3375, 3383, 340024, 345, 348, 3553, 3557, 3569, 359, 3623, 3630, 3636, 3816, 3818, 3827, 383, 3934, 3952, 3953, 3990, 3991, 401, 4023, 4041, 4049, 4069, 4153, 4306, 4313, 4318, 4524, 4535, 4536, 4565, 476, 488, 500245, 5054, 506, 5144, 522, 56670, 56729, 5770, 59272, 5972, 5997, 6013, 6098, 624, 6296, 6338, 6340, 6401, 6403, 6446, 65030, 65125, 65266, 652, 6530, 654817, 6559, 6649, 7076, 7077, 7276, 7350, 7351, 7498, 79129, 796, 8876, 9370, 9475
DOID:13709	premature ejaculation	302.75	 	 	3952
DOID:10875	premature labor	 	D007752	C50917	1392, 1667, 1668, 3383, 3553, 3557, 3698, 387, 5972, 6279, 6280, 6347, 6401, 671, 715467, 9536
DOID:10787	premature menopause	256.31	D008594	C80099	672
DOID:5426	premature ovarian failure	 	D016649	C62595	11144, 2099, 2304, 2592, 2661, 268, 283120, 342977, 344018, 3623, 3625, 4254, 431707, 4438, 4439, 5421, 594, 668, 79983, 9210
DOID:11638	presbyopia	367.4	D011305	 	1409
DOID:1405	primary angle-closure glaucoma	365.2	 	C34640	338917, 4016, 4318
DOID:12236	primary biliary cirrhosis	 	D008105	C27167	10257, 1493, 1543, 1629, 1997, 2099, 2120, 2162, 250, 26191, 2950, 3105, 3117, 355, 3620, 3627, 3717, 3952, 4064, 4068, 4283, 4363, 5783, 648, 6504, 6622, 7099, 857, 858, 929, 939
DOID:1851	primary biliary cirrhosis	 	D008105	C27167	3383, 3683, 64467
DOID:2925	primary ciliary dyskinesia	 	D002925	C84638	1080, 25911, 56171
DOID:9562	primary ciliary dyskinesia	 	D002925	C84638	1080, 25911, 56171
DOID:2977	primary hyperoxaluria	 	D006959	 	189, 9380
DOID:11202	primary hyperparathyroidism	252.01	D049950	C48280	133, 3784, 5979, 846
DOID:14790	primary hyperparathyroidism	252.01	D049950	C48280	4221, 79577, 846
DOID:14283	primary hypertrophic osteoarthropathy	 	D010004	C85023	3248
DOID:612	primary immunodeficiency disease	279.3	D007153	C39725	10673, 1075, 155030, 27035, 326, 331, 3431, 3578, 3981, 4261, 4297, 4300, 4683, 472, 5133, 5896, 5897, 6387, 7070, 79840, 841
DOID:5461	primary Mycoplasma infectious disease	 	D009175	 	1039, 3576, 650
DOID:1070	primary open angle glaucoma	365.11	 	C35394	10133, 1026, 1545, 1636, 2006, 2056, 26254, 2723, 29110, 2944, 2952, 348, 3557, 355, 356, 399564, 4016, 4524, 4653, 5054, 8904, 9542
DOID:14557	primary pulmonary hypertension	416	C536282	 	1636, 284, 3741, 4313, 6532, 659, 7432, 94
DOID:168	primitive neuroectodermal tumor	 	D018242	C5398	1029, 11186, 29103, 6598
DOID:649	prion disease	 	D017096	C38853	10971, 2, 3329, 351, 4137, 5743
DOID:3911	progeria	 	D011371	C34951	176, 288, 4000, 7507
DOID:643	progressive multifocal leukoencephalopathy	46.3	D007968	C26815	1053, 11073, 110794, 11200, 1387, 1436, 1452, 1613, 1616, 1660, 18854, 19401, 1977, 1991, 2000, 20181, 2152, 22059, 2828279, 28996, 2958467, 332, 3569, 4069, 4331, 4361, 4609, 4773, 50701, 5074, 50883, 5300, 5371, 5914, 6304, 641, 6598, 6672, 6688, 7161, 7318, 7323, 7341, 8797, 902
DOID:318	progressive muscular atrophy	335.21	D009134	C85027	367, 7084
DOID:891	progressive myoclonus epilepsy	 	D020191	C7636	1476
DOID:678	progressive supranuclear palsy	 	D013494	C85028	1128, 1129, 1132, 1394, 4137, 5300, 6622
DOID:5394	prolactinoma	 	D015175	C3342	3976, 5111, 9146
DOID:13207	proliferative diabetic retinopathy	362.02	 	C84457	1490, 177, 2056, 2247, 233, 4311, 4313, 4318, 57125, 6347, 7422, 7450
DOID:4778	proliferative glomerulonephritis	 	 	C35281	3586
DOID:9719	proliferative vitreoretinopathy	 	D018630	 	1839, 1910
DOID:8495	prolonged labor	662.1	 	 	2697, 9672
DOID:11861	prolonged pregnancy	645.2	D011273	 	1401
DOID:2526	prostate adenocarcinoma	 	 	C2919	10321, 1234, 14182, 1500, 154, 2078, 2263, 246, 2944, 2950, 301, 367, 3688, 3845, 4313, 4583, 5970, 6134, 6319, 64478, 655, 6648, 673, 7113, 7316, 7494, 7515, 7517, 8878
DOID:10283	prostate cancer	 	D011471	C3343	10062, 10114, 10188, 10210, 10253, 10257, 10265, 1026, 1027, 1029, 102, 10321, 10333, 10397, 10451, 10481, 10498, 1051, 1052, 10551, 10553, 10594, 106021, 10653, 10672, 10765, 10800, 10803, 109332, 10, 11010, 11012, 11013, 1102, 11040, 11093, 11096, 1111, 1113, 1116, 11178, 11186, 1118, 11197, 11200, 11219, 11316, 1147, 11651, 116, 117, 11835, 11886, 1191, 1209, 1230, 1231, 1234, 12505, 133, 1398, 1401, 1432, 1435, 1436, 1445, 1462, 1471, 1485, 148, 1493, 1499, 1500, 1501, 1513, 1524, 1543, 1545, 154, 1555, 1588, 1591, 1594, 1601, 1604, 1605, 16150, 1630, 1636, 16398, 16410, 16412, 16416, 17127, 177, 18095, 182, 1834, 1855, 1869, 1871, 18750, 18792, 18793, 1890, 1902, 1906, 1909, 19143, 19211, 19367, 1950, 1956, 1958, 1978, 199731, 2002, 2005, 2022, 2023, 2033, 2034, 2048, 2050, 2056, 2057, 2064, 2065, 2067, 2068, 20692, 2078, 207, 20846, 208, 2099, 2100, 2101, 2103, 2113, 2115, 2118, 2119, 2146, 2149, 214, 2150, 2152, 2171, 21752, 2185, 21943, 2194, 221120, 221476, 2222, 2247, 2253, 2254, 2264, 2266, 2272, 2274, 2277, 2308, 237353, 239, 240, 247, 249, 25062, 25898, 2597, 25988, 259, 261729, 26298, 262, 2638, 26471, 2650, 26524, 2672, 26799, 268, 2690, 2691, 2692, 2697, 27035, 27043, 2706, 27122, 27173, 27257, 2735, 2736, 2739, 274, 2768, 28234, 283518, 283, 285634, 29108, 2944, 2950, 2952, 29843, 29914, 2, 301, 302, 3091, 3105, 3178, 3224, 3249, 324, 3283, 3284, 3292, 3309, 330, 3315, 331, 3329, 332, 3339, 3373, 3381, 3383, 3397, 3398, 3428, 3456, 3458, 3479, 3480, 3481, 3482, 3484, 3485, 3486, 3487, 3488, 348, 3490, 354, 3551, 3557, 3558, 355, 3565, 3569, 3576, 3586, 3590, 3603, 3606, 360, 3627, 3630, 3651, 3667, 3673, 3678, 3679, 367, 3685, 3688, 3690, 3691, 3716, 3725, 3727, 3728, 3732, 374, 3778, 3817, 384, 387496, 387, 390, 3911, 3912, 3915, 3952, 3956, 3958, 3972, 3984, 39, 403078, 4036, 4088, 4089, 4092, 4100, 4102, 4103, 4117, 4118, 412, 414059, 4162, 4170, 4176, 4193, 4204, 4214, 4233, 4249, 427, 4282, 4288, 4292, 429, 4311, 4312, 4313, 4318, 4321, 4323, 4353, 4363, 4436, 4437, 4477, 4481, 4502, 4521, 4524, 4552, 4582, 4583, 4585, 4586, 4588, 4595, 4609, 462, 463, 4646, 472, 4733, 4771, 5008, 5036, 5037, 5054, 5062, 5087, 5094, 5111, 5294, 5295, 5300, 5312, 5328, 5329, 5340, 5347, 5349, 5371, 5395, 542767, 55, 55840, 563, 56547, 56717, 567, 56924, 56937, 56988, 56999, 57169, 572, 573, 5743, 5744, 5747, 5757, 5764, 5770, 57728, 5782, 5813, 58189, 58191, 581, 5829, 5879, 5883, 5894, 5911, 5914, 5915, 5925, 5933, 5934, 595, 596, 5971, 597, 598, 6009, 6013, 6015, 6019, 6041, 60495, 60528, 6059, 606293, 6143, 6197, 6233, 6256, 6257, 6258, 6286, 6335, 6347, 634, 6352, 6382, 6387, 64002, 6418, 6424, 64478, 6449, 6464, 6469, 64816, 64866, 648, 6502, 650, 652, 654, 658, 6591, 6595, 6597, 6599, 659, 660, 6647, 6648, 6649, 6662, 6667, 6678, 6690, 6692, 6696, 672, 675, 682, 688, 7074, 7077, 7078, 7079, 7090, 7095, 7096, 7098, 7099, 7113, 7163, 7178, 7181, 7258, 7291, 7295, 7297, 7298, 7341, 7422, 7424, 7430, 7431, 7432, 7433, 7449, 7474, 7515, 780, 79054, 79084, 79602, 79644, 796, 79728, 79852, 80310, 80705, 823, 857, 860, 8797, 8837, 8851, 8871, 8895, 8900, 8912, 891, 8945, 894, 896, 9002, 9021, 9099, 9112, 9131, 9166, 9185, 9261, 928, 92, 9370, 93759, 9404, 9420, 9429, 9479, 9506, 9510, 9518, 9564, 9604, 9612, 9622, 9645, 9687, 9971, 9
